Customer_ID,Company_Name,Signup_Date,Last_Order_Date,Industry_Category,Company_Size,Company_Age_Years,Emirate,Primary_Sales_Channel,Number_of_Sales_Channels,Monthly_Order_Volume,Avg_Order_Value_AED,Number_of_SKUs,Total_Lifetime_Orders,Return_Rate_Pct,COD_Order_Pct,Avg_Delivery_Time_Days,Peak_Season_Multiplier,Uses_Warehousing,Uses_Same_Day_Delivery,Uses_Next_Day_Delivery,Uses_Reverse_Logistics,Uses_COD_Collection,Uses_International_Shipping,Uses_Qcommerce_Fulfillment,Uses_Inventory_Management,Uses_Custom_Packaging,Current_Provider,Contract_Type,Preferred_Billing_Cycle,Tech_Integration_Level,Monthly_Logistics_Spend_AED,Recency_Days,Order_Frequency_Per_Month,Customer_Lifetime_Value_AED,On_Time_Delivery_Rate_Pct,Order_Accuracy_Pct,Avg_Support_Response_Hours,Complaints_Last_Quarter,Damaged_Shipment_Pct,Satisfaction_Score,NPS_Rating,Price_Sensitivity,Primary_Pain_Point,Willingness_To_Switch,Churned,Premium_Tier_Adoption
CUST-10170,Coral Mart,22 Jan 2023,2026-05-10,Food & Beverage,Startup,7.3,DUBAI,Retail Partners,3,111,57.09,29,3514,22.4,59.8,2.6,1.0,0,Yes,0,1,1,0,0,1,1,Shipa,Pay-as-you-go,Weekly,Manual,609.32,48,0.7,36002.6,88.0,96.1,12.5,7,3.8,2,0,Low,Returns Handling,4,No,No
CUST-10500,Bloom Collective,2025-12-15,2026-04-17,Electronics & Gadgets,Mid-Market,1.0,Abu Dhabi,TikTok Shop,1,3966,224.52,355,20895,6.5,28.4,1.3,2.44,0,0,1,0,1,No,1,0,0,,Quarterly,Bi-weekly,API Integrated,88579.41,71,4.3,807728.43,99.3,100.0,14.4,3,3.4,4,3,Low,COD Reconciliation,4,No,Yes
CUST-10069,Mirage Living,2024-07-15,2026-04-17,Food & Beverage,SME,5.0,Abu Dhabi,Amazon.ae,2,829,182.01,254,12187,12.3,59.8,1.8,1.52,1,0,1,0,1,0,0,0,1,In-house,Pay-as-you-go,Monthly,Dashboard Only,9237.89,71,3.7,330929.02,88.4,92.3,13.3,3,4.5,12,4,Medium,Cost,5,No,No
CUST-10844,Desert Threads,2025-04-03,03/06/2026,Toys & Baby,Startup,5.1,Ajman,Amazon.ae,2,105,53.57,31,1447,26.2,56.0,3.7,1.4,0,0,1,1,1,No,0,1,0,Smsa Express,Pay-as-you-go,Monthly,Manual,370.44,24,1.4,16644.61,82.7,95.3,23.4,2,4.6,4,4,High,COD Reconciliation,5,No,No
CUST-10502,Dune Mart,2023-08-23,04 Jun 2026,Health & Supplements,Enterprise,3.0,Abu Dhabi,TikTok Shop,5,8356,375.33,2191,274881,8.8,38.0,0.5,2.27,1,No,1,1,0,1,1,1,1,Fetchr,Pay-as-you-go,Monthly,API Integrated,206762.12,23,4.3,5643697.52,86.6,93.0,11.7,0,1.4,5,6,Low,COD Reconciliation,3,No,Yes
CUST-10503,Falcon Bazaar,2024-08-20,2026-06-10,Beauty & Cosmetics,SME,5.0,Dubai,Retail Partners,2,990,142.47,104,17679,17.9,50.9,1.5,2.38,1,0,0,1,1,1,0,1,1,Smsa Express,Pay-as-you-go,Monthly,,14381.17,17,2.3,446070.53,92.9,94.5,7.8,3,1.6,4,5,Medium,Cost,3,No,No
CUST-10611,Zest Threads,2023-06-17,06 Jun 2026,Toys & Baby,SME,6.0,Abu Dhabi,Own Website,3,530,,52,18292,10.4,61.0,1.5,1.85,1,0,1,0,0,1,0,1,0,iMile,Monthly,Monthly,,7925.01,21,4.1,453431.23,86.9,94.9,4.9,5,,3,3,High,Coverage,4,Yes,No
CUST-10533,Nova Supply,2024-12-23,2026-05-16,Toys & Baby,SME,3.3,Ajman,TikTok Shop,3,903,158.01,104,14013,9.1,53.7,3.1,1.73,1,1,0,0,1,0,1,1,1,Aramex,Monthly,Bi-weekly,Dashboard Only,12635.89,42,3.9,288948.19,92.4,91.1,19.7,3,1.7,3,4,Medium,Tracking Visibility,4,No,Yes
CUST-10568,Coral Goods,2026-03-21,2026-06-13,Fashion & Apparel,SME,0.5,Ajman,Amazon.ae,4,545,199.88,165,1088,12.6,52.1,1.5,1.6,1,Yes,1,0,1,1,0,1,0,In-house,Pay-as-you-go,Weekly,Dashboard Only,9418.34,14,3.3,43454.21,78.8,90.7,11.4,7,3.1,1,0,High,Coverage,5,Yes,No
CUST-11068,Zest Trading,2024-02-18,2026-06-04,Food & Beverage,Startup,3.1,Ajman,Amazon.ae,1,94,134.92,28,1684,22.5,75.0,3.5,1.0,0,0,1,0,1,0,0,0,1,Shipa,Pay-as-you-go,Bi-weekly,Manual,830.98,23,2.7,20360.4,87.0,90.3,13.0,5,5.9,2,2,High,Speed,5,No,No
